Hunt County,,,,,,
"November 8, 2022",,,,,,
General Election,,,,,,
105 - SGR,300,"United States Representative, District 3",Sandeep Srivastava,68,28,37
105 - SGR,300,"United States Representative, District 3",Christopher Claytor,7,2,5
105 - SGR,300,Governor,Greg Abbott,222,127,88
105 - SGR,300,Governor,Beto O'Rourke,73,31,40
105 - SGR,300,Governor,Mark Tippetts,4,1,2
105 - SGR,300,Governor,Delilah Barrios,1,0,1
105 - SGR,300,Governor,Jacqueline Abernathy,0,0,0
105 - SGR,300,Governor,Mark V. Goloby,0,0,0
105 - SGR,300,Governor,Rejected write-ins,0,0,0
105 - SGR,300,Governor,Unassigned write-ins,0,0,0
105 - SGR,300,Lieutenant Governor,Dan Patrick,214,125,83
105 - SGR,300,Lieutenant Governor,Mike Collier,77,30,44
105 - SGR,300,Lieutenant Governor,Shanna Steele,6,2,4
105 - SGR,300,Attorney General,Ken Paxton,210,121,83
105 - SGR,300,Attorney General,Rochelle Mercedes Garza,73,28,42
105 - SGR,300,Attorney General,Mark Ash,12,7,5
105 - SGR,300,Comptroller of Public Accounts,Glenn Hegar,221,131,84
105 - SGR,300,Comptroller of Public Accounts,Janet T. Dudding,65,24,38
105 - SGR,300,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,3,2,1
105 - SGR,300,Commissioner of the General Land Office,Dawn Buckingham,218,126,86
105 - SGR,300,Commissioner of the General Land Office,Jay Kleberg,69,26,40
105 - SGR,300,Commissioner of the General Land Office,"Alfred Molison, Jr.",2,1,1
105 - SGR,300,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
105 - SGR,300,Commissioner of the General Land Office,Rejected write-ins,0,0,0
105 - SGR,300,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
105 - SGR,300,Commissioner of Agriculture,Sid Miller,215,125,84
105 - SGR,300,Commissioner of Agriculture,Susan Hays,76,29,44
105 - SGR,300,Railroad Commissioner,Wayne Christian,215,127,82
105 - SGR,300,Railroad Commissioner,Luke Warford,60,25,32
105 - SGR,300,Railroad Commissioner,Jaime Andres Diez,10,1,9
105 - SGR,300,Railroad Commissioner,Hunter Wayne Crow,4,2,2
105 - SGR,300,"Justice, Supreme Court, Place 3",Debra Lehrmann,222,129,87
105 - SGR,300,"Justice, Supreme Court, Place 3",Erin A. Nowell,61,23,35
105 - SGR,300,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,8,3,5
105 - SGR,300,"Justice, Supreme Court, Place 5",Rebeca Huddle,218,127,85
105 - SGR,300,"Justice, Supreme Court, Place 5",Amanda Reichek,73,30,40
105 - SGR,300,"Justice, Supreme Court, Place 9",Evan Young,213,124,83
105 - SGR,300,"Justice, Supreme Court, Place 9",Julia Maldonado,74,30,41
105 - SGR,300,"Judge, Court of Criminal Appeals Place 5",Scott Walker,217,126,85
105 - SGR,300,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,72,29,40
105 - SGR,300,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",214,125,83
105 - SGR,300,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,74,29,42
105 - SGR,300,"Member, State Board of Education, Disrict 12",Pam Little,211,121,85
105 - SGR,300,"Member, State Board of Education, Disrict 12",Alex Cornwallis,64,27,35
105 - SGR,300,"Member, State Board of Education, Disrict 12",Christy Mowrey,9,4,5
105 - SGR,300,"Member, State Board of Education, Disrict 12",Rosiland Davis,1,0,0
105 - SGR,300,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
105 - SGR,300,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
105 - SGR,300,"State Senator, District 8",Angela Paxton,216,122,89
105 - SGR,300,"State Senator, District 8",Jonathan Cocks,64,25,36
105 - SGR,300,"State Senator, District 8",Edward Kless,6,4,2
105 - SGR,300,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,214,123,85
105 - SGR,300,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,67,28,36
105 - SGR,300,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,212,122,84
105 - SGR,300,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,70,29,38
105 - SGR,300,"Hunt County, Proposition A",FOR,250,131,111
105 - SGR,300,"Hunt County, Proposition A",AGAINST,33,21,12
105 - SGR,300,"GREENVILLE ISD, PROPOSITION A",FOR,126,58,64
105 - SGR,300,"GREENVILLE ISD, PROPOSITION A",AGAINST,163,96,62
106 - SGR,811,"United States Representative, District 3",Keith Self,505,313,143
106 - SGR,811,"United States Representative, District 3",Sandeep Srivastava,265,146,99
106 - SGR,811,"United States Representative, District 3",Christopher Claytor,16,5,10
106 - SGR,811,Governor,Greg Abbott,516,312,151
106 - SGR,811,Governor,Beto O'Rourke,284,159,104
106 - SGR,811,Governor,Mark Tippetts,7,6,1
106 - SGR,811,Governor,Delilah Barrios,4,1,2
106 - SGR,811,Governor,Jacqueline Abernathy,0,0,0
106 - SGR,811,Governor,Mark V. Goloby,0,0,0
106 - SGR,811,Governor,Rejected write-ins,0,0,0
106 - SGR,811,Governor,Unassigned write-ins,0,0,0
106 - SGR,811,Lieutenant Governor,Dan Patrick,498,306,140
106 - SGR,811,Lieutenant Governor,Mike Collier,280,155,105
106 - SGR,811,Lieutenant Governor,Shanna Steele,25,11,12
106 - SGR,811,Attorney General,Ken Paxton,498,309,141
106 - SGR,811,Attorney General,Rochelle Mercedes Garza,265,141,100
106 - SGR,811,Attorney General,Mark Ash,32,18,13
106 - SGR,811,Comptroller of Public Accounts,Glenn Hegar,514,315,146
106 - SGR,811,Comptroller of Public Accounts,Janet T. Dudding,270,149,101
106 - SGR,811,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,12,5,7
106 - SGR,811,Commissioner of the General Land Office,Dawn Buckingham,507,312,143
106 - SGR,811,Commissioner of the General Land Office,Jay Kleberg,269,146,102
106 - SGR,811,Commissioner of the General Land Office,"Alfred Molison, Jr.",13,6,7
106 - SGR,811,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
106 - SGR,811,Commissioner of the General Land Office,Rejected write-ins,0,0,0
106 - SGR,811,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
106 - SGR,811,Commissioner of Agriculture,Sid Miller,507,309,146
106 - SGR,811,Commissioner of Agriculture,Susan Hays,279,157,103
106 - SGR,811,Railroad Commissioner,Wayne Christian,501,306,143
106 - SGR,811,Railroad Commissioner,Luke Warford,252,143,88
106 - SGR,811,Railroad Commissioner,Jaime Andres Diez,25,13,12
106 - SGR,811,Railroad Commissioner,Hunter Wayne Crow,11,4,7
106 - SGR,811,"Justice, Supreme Court, Place 3",Debra Lehrmann,505,311,142
106 - SGR,811,"Justice, Supreme Court, Place 3",Erin A. Nowell,268,148,100
106 - SGR,811,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,16,6,10
106 - SGR,811,"Justice, Supreme Court, Place 5",Rebeca Huddle,517,316,149
106 - SGR,811,"Justice, Supreme Court, Place 5",Amanda Reichek,270,148,102
106 - SGR,811,"Justice, Supreme Court, Place 9",Evan Young,512,314,146
106 - SGR,811,"Justice, Supreme Court, Place 9",Julia Maldonado,274,150,104
106 - SGR,811,"Judge, Court of Criminal Appeals Place 5",Scott Walker,510,309,150
106 - SGR,811,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,269,146,103
106 - SGR,811,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",502,305,147
106 - SGR,811,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,271,148,103
106 - SGR,811,"Member, State Board of Education, Disrict 12",Pam Little,494,304,140
106 - SGR,811,"Member, State Board of Education, Disrict 12",Alex Cornwallis,262,141,101
106 - SGR,811,"Member, State Board of Education, Disrict 12",Christy Mowrey,25,12,11
106 - SGR,811,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
106 - SGR,811,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
106 - SGR,811,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
106 - SGR,811,"State Senator, District 8",Angela Paxton,498,308,142
106 - SGR,811,"State Senator, District 8",Jonathan Cocks,270,145,104
106 - SGR,811,"State Senator, District 8",Edward Kless,12,6,6
106 - SGR,811,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,505,307,149
106 - SGR,811,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,267,149,97
106 - SGR,811,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,507,310,147
106 - SGR,811,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,269,146,103
106 - SGR,811,"Hunt County, Proposition A",FOR,657,394,203
106 - SGR,811,"Hunt County, Proposition A",AGAINST,74,40,32
106 - SGR,811,"GREENVILLE ISD, PROPOSITION A",FOR,434,262,135
106 - SGR,811,"GREENVILLE ISD, PROPOSITION A",AGAINST,314,176,112
107 - SGR,1579,"United States Representative, District 3",Keith Self,1144,666,406
107 - SGR,1579,"United States Representative, District 3",Sandeep Srivastava,369,239,114
107 - SGR,1579,"United States Representative, District 3",Christopher Claytor,38,20,17
107 - SGR,1579,Governor,Greg Abbott,1130,663,398
107 - SGR,1579,Governor,Beto O'Rourke,417,265,134
107 - SGR,1579,Governor,Mark Tippetts,19,8,9
107 - SGR,1579,Governor,Delilah Barrios,6,4,2
107 - SGR,1579,Governor,Jacqueline Abernathy,0,0,0
107 - SGR,1579,Governor,Mark V. Goloby,0,0,0
107 - SGR,1579,Governor,Rejected write-ins,2,1,1
107 - SGR,1579,Governor,Unassigned write-ins,0,0,0
107 - SGR,1579,Lieutenant Governor,Dan Patrick,1102,647,391
107 - SGR,1579,Lieutenant Governor,Mike Collier,423,272,127
107 - SGR,1579,Lieutenant Governor,Shanna Steele,38,19,18
107 - SGR,1579,Attorney General,Ken Paxton,1092,636,391
107 - SGR,1579,Attorney General,Rochelle Mercedes Garza,415,271,124
107 - SGR,1579,Attorney General,Mark Ash,48,23,22
107 - SGR,1579,Comptroller of Public Accounts,Glenn Hegar,1139,664,405
107 - SGR,1579,Comptroller of Public Accounts,Janet T. Dudding,357,236,104
107 - SGR,1579,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,41,21,19
107 - SGR,1579,Commissioner of the General Land Office,Dawn Buckingham,1133,662,403
107 - SGR,1579,Commissioner of the General Land Office,Jay Kleberg,369,239,114
107 - SGR,1579,Commissioner of the General Land Office,"Alfred Molison, Jr.",25,16,9
107 - SGR,1579,Commissioner of the General Land Office,Carrie Evelyn Menger,2,1,1
107 - SGR,1579,Commissioner of the General Land Office,Rejected write-ins,1,1,0
107 - SGR,1579,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
107 - SGR,1579,Commissioner of Agriculture,Sid Miller,1138,665,405
107 - SGR,1579,Commissioner of Agriculture,Susan Hays,391,251,122
107 - SGR,1579,Railroad Commissioner,Wayne Christian,1102,643,393
107 - SGR,1579,Railroad Commissioner,Luke Warford,356,234,106
107 - SGR,1579,Railroad Commissioner,Jaime Andres Diez,44,26,18
107 - SGR,1579,Railroad Commissioner,Hunter Wayne Crow,23,14,7
107 - SGR,1579,"Justice, Supreme Court, Place 3",Debra Lehrmann,1127,663,397
107 - SGR,1579,"Justice, Supreme Court, Place 3",Erin A. Nowell,376,245,115
107 - SGR,1579,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,32,16,14
107 - SGR,1579,"Justice, Supreme Court, Place 5",Rebeca Huddle,1138,664,408
107 - SGR,1579,"Justice, Supreme Court, Place 5",Amanda Reichek,392,255,120
107 - SGR,1579,"Justice, Supreme Court, Place 9",Evan Young,1124,660,399
107 - SGR,1579,"Justice, Supreme Court, Place 9",Julia Maldonado,398,257,124
107 - SGR,1579,"Judge, Court of Criminal Appeals Place 5",Scott Walker,1133,663,405
107 - SGR,1579,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,388,251,120
107 - SGR,1579,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",1127,661,400
107 - SGR,1579,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,388,248,124
107 - SGR,1579,"Member, State Board of Education, Disrict 12",Pam Little,1096,645,388
107 - SGR,1579,"Member, State Board of Education, Disrict 12",Alex Cornwallis,367,234,119
107 - SGR,1579,"Member, State Board of Education, Disrict 12",Christy Mowrey,50,26,18
107 - SGR,1579,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
107 - SGR,1579,"Member, State Board of Education, Disrict 12",Rejected write-ins,1,0,1
107 - SGR,1579,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
107 - SGR,1579,"State Senator, District 8",Angela Paxton,1088,630,393
107 - SGR,1579,"State Senator, District 8",Jonathan Cocks,390,253,119
107 - SGR,1579,"State Senator, District 8",Edward Kless,44,22,20
107 - SGR,1579,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,1125,658,401
107 - SGR,1579,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,386,249,121
107 - SGR,1579,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,1125,657,403
107 - SGR,1579,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,383,246,120
107 - SGR,1579,"Hunt County, Proposition A",FOR,1359,819,456
107 - SGR,1579,"Hunt County, Proposition A",AGAINST,151,85,65
107 - SGR,1579,"GREENVILLE ISD, PROPOSITION A",FOR,795,480,271
107 - SGR,1579,"GREENVILLE ISD, PROPOSITION A",AGAINST,723,421,261
108 - SGR,703,"United States Representative, District 3",Keith Self,444,230,195
108 - SGR,703,"United States Representative, District 3",Sandeep Srivastava,226,118,91
108 - SGR,703,"United States Representative, District 3",Christopher Claytor,17,7,9
108 - SGR,703,Governor,Greg Abbott,445,227,201
108 - SGR,703,Governor,Beto O'Rourke,238,126,93
108 - SGR,703,Governor,Mark Tippetts,8,6,2
108 - SGR,703,Governor,Delilah Barrios,3,1,2
108 - SGR,703,Governor,Jacqueline Abernathy,1,0,0
108 - SGR,703,Governor,Mark V. Goloby,0,0,0
108 - SGR,703,Governor,Rejected write-ins,0,0,0
108 - SGR,703,Governor,Unassigned write-ins,0,0,0
108 - SGR,703,Lieutenant Governor,Dan Patrick,430,214,198
108 - SGR,703,Lieutenant Governor,Mike Collier,236,132,87
108 - SGR,703,Lieutenant Governor,Shanna Steele,23,13,9
108 - SGR,703,Attorney General,Ken Paxton,430,217,195
108 - SGR,703,Attorney General,Rochelle Mercedes Garza,229,125,88
108 - SGR,703,Attorney General,Mark Ash,29,15,12
108 - SGR,703,Comptroller of Public Accounts,Glenn Hegar,446,228,197
108 - SGR,703,Comptroller of Public Accounts,Janet T. Dudding,213,117,84
108 - SGR,703,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,22,11,8
108 - SGR,703,Commissioner of the General Land Office,Dawn Buckingham,437,226,195
108 - SGR,703,Commissioner of the General Land Office,Jay Kleberg,222,119,86
108 - SGR,703,Commissioner of the General Land Office,"Alfred Molison, Jr.",16,7,8
108 - SGR,703,Commissioner of the General Land Office,Carrie Evelyn Menger,1,0,0
108 - SGR,703,Commissioner of the General Land Office,Rejected write-ins,1,1,0
108 - SGR,703,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
108 - SGR,703,Commissioner of Agriculture,Sid Miller,441,224,200
108 - SGR,703,Commissioner of Agriculture,Susan Hays,231,126,87
108 - SGR,703,Railroad Commissioner,Wayne Christian,431,220,193
108 - SGR,703,Railroad Commissioner,Luke Warford,213,121,76
108 - SGR,703,Railroad Commissioner,Jaime Andres Diez,23,10,13
108 - SGR,703,Railroad Commissioner,Hunter Wayne Crow,10,3,6
108 - SGR,703,"Justice, Supreme Court, Place 3",Debra Lehrmann,436,223,194
108 - SGR,703,"Justice, Supreme Court, Place 3",Erin A. Nowell,222,125,82
108 - SGR,703,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,18,3,14
108 - SGR,703,"Justice, Supreme Court, Place 5",Rebeca Huddle,440,223,197
108 - SGR,703,"Justice, Supreme Court, Place 5",Amanda Reichek,228,127,87
108 - SGR,703,"Justice, Supreme Court, Place 9",Evan Young,431,219,193
108 - SGR,703,"Justice, Supreme Court, Place 9",Julia Maldonado,234,128,90
108 - SGR,703,"Judge, Court of Criminal Appeals Place 5",Scott Walker,441,223,198
108 - SGR,703,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,229,125,90
108 - SGR,703,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",435,221,194
108 - SGR,703,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,233,126,92
108 - SGR,703,"Member, State Board of Education, Disrict 12",Pam Little,414,212,182
108 - SGR,703,"Member, State Board of Education, Disrict 12",Alex Cornwallis,230,124,92
108 - SGR,703,"Member, State Board of Education, Disrict 12",Christy Mowrey,22,10,11
108 - SGR,703,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
108 - SGR,703,"Member, State Board of Education, Disrict 12",Rejected write-ins,1,1,0
108 - SGR,703,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
108 - SGR,703,"State Senator, District 8",Angela Paxton,417,214,187
108 - SGR,703,"State Senator, District 8",Jonathan Cocks,230,128,86
108 - SGR,703,"State Senator, District 8",Edward Kless,23,8,12
108 - SGR,703,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,433,221,192
108 - SGR,703,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,226,123,88
108 - SGR,703,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,431,218,193
108 - SGR,703,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,232,129,88
108 - SGR,703,"Hunt County, Proposition A",FOR,588,312,245
108 - SGR,703,"Hunt County, Proposition A",AGAINST,85,41,40
108 - SGR,703,"GREENVILLE ISD, PROPOSITION A",FOR,367,194,153
108 - SGR,703,"GREENVILLE ISD, PROPOSITION A",AGAINST,311,159,136
109,765,"United States Representative, District 3",Keith Self,640,226,403
109,765,"United States Representative, District 3",Sandeep Srivastava,95,41,50
109,765,"United States Representative, District 3",Christopher Claytor,18,6,11
109,765,Governor,Greg Abbott,650,235,404
109,765,Governor,Beto O'Rourke,102,40,57
109,765,Governor,Mark Tippetts,11,2,9
109,765,Governor,Delilah Barrios,2,0,2
109,765,Governor,Jacqueline Abernathy,0,0,0
109,765,Governor,Mark V. Goloby,0,0,0
109,765,Governor,Rejected write-ins,0,0,0
109,765,Governor,Unassigned write-ins,0,0,0
109,765,Lieutenant Governor,Dan Patrick,630,227,395
109,765,Lieutenant Governor,Mike Collier,116,45,63
